ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	FontStyle	RunTrialNumber[Session]	TrialsPerRun	ConsecNonResp[Session]	ConsecSameResp[Session]	TotalRespGreater200[Session]	ConsecRTLess200[Session]	StimuliDir	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.OnsetToOnsetTime	ExperimenterWindow.OnsetDelay[Session]	ExperimenterWindow.OnsetTime[Session]	ExperimenterWindow.DurationError[Session]	ExperimenterWindow.OnsetToOnsetTime[Session]	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	Procedure	CountDownList	Stimulus	CountDownList.Cycle	CountDownList.Sample	Running	CountDownSlide.OnsetDelay	CountDownSlide.OnsetTime	CountDownSlide.DurationError	CountDownSlide.FinishTime	CountDownSlide.OnsetToOnsetTime	SOCIALList	RunID	SocialRun1List	Movie	Type	Run	Order	RunTrialNumber[Block]	ConsecNonResp[Block]	ConsecSameResp[Block]	TotalRespGreater200[Block]	ConsecRTLess200[Block]	ExperimenterWindow.OnsetDelay[Block]	ExperimenterWindow.OnsetTime[Block]	ExperimenterWindow.DurationError[Block]	ExperimenterWindow.OnsetToOnsetTime[Block]	SOCIALList.Cycle	SOCIALList.Sample	MovieSlide.OnsetDelay	MovieSlide.OnsetTime	MovieSlide.DurationError	MovieSlide.OnsetToOnsetTime	ResponseSlide.OnsetDelay	ResponseSlide.OnsetTime	ResponseSlide.DurationError	ResponseSlide.RTTime	ResponseSlide.ACC	ResponseSlide.RT	ResponseSlide.RESP	ResponseSlide.CRESP	ResponseSlide.OnsetToOnsetTime	FixationBlock.OnsetDelay	FixationBlock.OnsetTime	FixationBlock.DurationError	FixationBlock.OnsetToOnsetTime	Block
SOCIAL080112	101006_fncb	1	1	1	1290741019	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	5456	-999999	0	35	18211	-999999	0	38	215875	2	14	5	230842	3	229837	14	19	230856	-999999	230846	0	CountDownPROC	1	4	1	1	CountDownList	12	32725	-13	34512	0																																				1
SOCIAL080112	101006_fncb	1	1	1	1290741019	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	5456	-999999	0	35	18211	-999999	0	38	215875	2	14	5	230842	3	229837	14	19	230856	-999999	230846	0	CountDownPROC	2	3	1	2	CountDownList	11	34724	-12	36512	0																																				2
SOCIAL080112	101006_fncb	1	1	1	1290741019	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	5456	-999999	0	35	18211	-999999	0	38	215875	2	14	5	230842	3	229837	14	19	230856	-999999	230846	0	CountDownPROC	3	2	1	3	CountDownList	10	36723	-11	38512	0																																				3
SOCIAL080112	101006_fncb	1	1	1	1290741019	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	5456	-999999	0	35	18211	-999999	0	38	215875	2	14	5	230842	3	229837	14	19	230856	-999999	230846	0	CountDownPROC	4	1	1	4	CountDownList	9	38722	-10	40512	0																																				4
SOCIAL080112	101006_fncb	1	1	1	1290741019	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	5456	-999999	0	35	18211	-999999	0	38	215875	2	14	5	230842	3	229837	14	19	230856	-999999	230846	0	SOCIALrunPROC					SOCIALList						1	1	1	COAXING-B.AVI	Mental	Run 1	1	2	1	0	0	0	39	63779	3	0	2	1	221	40934	-222	19806	27	60740	-1	0	1	0	""	""	3039					5
SOCIAL080112	101006_fncb	1	1	1	1290741019	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	5456	-999999	0	35	18211	-999999	0	38	215875	2	14	5	230842	3	229837	14	19	230856	-999999	230846	0	FixationBlockPROC					SOCIALList						1	1	2	?	?	?	?										2	2														52	63792	-53	0	6
SOCIAL080112	101006_fncb	1	1	1	1290741019	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	5456	-999999	0	35	18211	-999999	0	38	215875	2	14	5	230842	3	229837	14	19	230856	-999999	230846	0	SOCIALrunPROC					SOCIALList						1	1	3	BILLIARD-A.AVI	Random	Run 1	2	3	0	1	1	0	52	101816	2	0	2	3	5	78745	-6	20019	24	98764	-1	100374	0	1610	4	""	3052					7
SOCIAL080112	101006_fncb	1	1	1	1290741019	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	5456	-999999	0	35	18211	-999999	0	38	215875	2	14	5	230842	3	229837	14	19	230856	-999999	230846	0	FixationBlockPROC					SOCIALList						1	1	4	?	?	?	?										2	4														65	101829	-66	0	8
SOCIAL080112	101006_fncb	1	1	1	1290741019	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	5456	-999999	0	35	18211	-999999	0	38	215875	2	14	5	230842	3	229837	14	19	230856	-999999	230846	0	SOCIALrunPROC					SOCIALList						1	1	5	DRIFTING-A.AVI	Random	Run 1	3	4	0	2	2	0	39	139827	2	0	2	5	6	116770	-7	20018	24	136788	-1	137934	0	1146	4	""	3039					9
SOCIAL080112	101006_fncb	1	1	1	1290741019	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	5456	-999999	0	35	18211	-999999	0	38	215875	2	14	5	230842	3	229837	14	19	230856	-999999	230846	0	FixationBlockPROC					SOCIALList						1	1	6	?	?	?	?										2	6														52	139840	-53	0	10
