ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	FontStyle	RunTrialNumber[Session]	TrialsPerRun	ConsecNonResp[Session]	ConsecSameResp[Session]	TotalRespGreater200[Session]	ConsecRTLess200[Session]	StimuliDir	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.OnsetToOnsetTime	ExperimenterWindow.OnsetDelay[Session]	ExperimenterWindow.OnsetTime[Session]	ExperimenterWindow.DurationError[Session]	ExperimenterWindow.OnsetToOnsetTime[Session]	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	Procedure	CountDownList	Stimulus	CountDownList.Cycle	CountDownList.Sample	Running	CountDownSlide.OnsetDelay	CountDownSlide.OnsetTime	CountDownSlide.DurationError	CountDownSlide.FinishTime	CountDownSlide.OnsetToOnsetTime	SOCIALList	RunID	SocialRun1List	Movie	Type	Run	Order	RunTrialNumber[Block]	ConsecNonResp[Block]	ConsecSameResp[Block]	TotalRespGreater200[Block]	ConsecRTLess200[Block]	ExperimenterWindow.OnsetDelay[Block]	ExperimenterWindow.OnsetTime[Block]	ExperimenterWindow.DurationError[Block]	ExperimenterWindow.OnsetToOnsetTime[Block]	SOCIALList.Cycle	SOCIALList.Sample	MovieSlide.OnsetDelay	MovieSlide.OnsetTime	MovieSlide.DurationError	MovieSlide.OnsetToOnsetTime	ResponseSlide.OnsetDelay	ResponseSlide.OnsetTime	ResponseSlide.DurationError	ResponseSlide.RTTime	ResponseSlide.ACC	ResponseSlide.RT	ResponseSlide.RESP	ResponseSlide.CRESP	ResponseSlide.OnsetToOnsetTime	FixationBlock.OnsetDelay	FixationBlock.OnsetTime	FixationBlock.DurationError	FixationBlock.OnsetToOnsetTime	Block
SOCIAL080112	100206_fncb	2	1	1	11039607	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	10997	-999999	0	29	24138	-999999	0	39	219778	1	13	6	234745	3	233739	13	19	234758	-999999	234748	0	CountDownPROC	1	4	1	1	CountDownList	26	36653	-27	38426	0																																				1
SOCIAL080112	100206_fncb	2	1	1	11039607	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	10997	-999999	0	29	24138	-999999	0	39	219778	1	13	6	234745	3	233739	13	19	234758	-999999	234748	0	CountDownPROC	2	3	1	2	CountDownList	12	38639	-13	40426	0																																				2
SOCIAL080112	100206_fncb	2	1	1	11039607	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	10997	-999999	0	29	24138	-999999	0	39	219778	1	13	6	234745	3	233739	13	19	234758	-999999	234748	0	CountDownPROC	3	2	1	3	CountDownList	11	40638	-12	42426	0																																				3
SOCIAL080112	100206_fncb	2	1	1	11039607	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	10997	-999999	0	29	24138	-999999	0	39	219778	1	13	6	234745	3	233739	13	19	234758	-999999	234748	0	CountDownPROC	4	1	1	4	CountDownList	10	42637	-11	44426	0																																				4
SOCIAL080112	100206_fncb	2	1	1	11039607	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	10997	-999999	0	29	24138	-999999	0	39	219778	1	13	6	234745	3	233739	13	19	234758	-999999	234748	0	SOCIALrunPROC					SOCIALList						2	2		Scaring.AVI	Mental	Run 1	6	2	0	1	1	0	52	67693	3	0	2	1	222	44849	-223	19792	14	64641	-1	65668	0	1027	2	""	3052					5
SOCIAL080112	100206_fncb	2	1	1	11039607	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	10997	-999999	0	29	24138	-999999	0	39	219778	1	13	6	234745	3	233739	13	19	234758	-999999	234748	0	FixationBlockPROC					SOCIALList						2	2		?	?	?	?										2	2														66	67707	-67	0	6
SOCIAL080112	100206_fncb	2	1	1	11039607	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	10997	-999999	0	29	24138	-999999	0	39	219778	1	13	6	234745	3	233739	13	19	234758	-999999	234748	0	SOCIALrunPROC					SOCIALList						2	2		SEDUCING-B.AVI	Mental	Run 1	7	3	0	2	2	0	52	105718	2	0	2	3	6	82647	-7	20019	25	102666	-1	103123	0	457	2	""	3052					7
SOCIAL080112	100206_fncb	2	1	1	11039607	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	10997	-999999	0	29	24138	-999999	0	39	219778	1	13	6	234745	3	233739	13	19	234758	-999999	234748	0	FixationBlockPROC					SOCIALList						2	2		?	?	?	?										2	4														65	105731	-66	0	8
SOCIAL080112	100206_fncb	2	1	1	11039607	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	10997	-999999	0	29	24138	-999999	0	39	219778	1	13	6	234745	3	233739	13	19	234758	-999999	234748	0	SOCIALrunPROC					SOCIALList						2	2		STAR-A.AVI	Random	Run 1	8	4	0	3	3	0	39	143729	2	0	2	5	6	120672	-7	20018	24	140690	-1	141082	0	392	2	""	3039					9
SOCIAL080112	100206_fncb	2	1	1	11039607	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	10997	-999999	0	29	24138	-999999	0	39	219778	1	13	6	234745	3	233739	13	19	234758	-999999	234748	0	FixationBlockPROC					SOCIALList						2	2		?	?	?	?										2	6														52	143742	-53	0	10
SOCIAL080112	100206_fncb	2	1	1	11039607	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	10997	-999999	0	29	24138	-999999	0	39	219778	1	13	6	234745	3	233739	13	19	234758	-999999	234748	0	SOCIALrunPROC					SOCIALList						2	2		SURPRISING-B.AVI	Mental	Run 1	9	5	0	4	4	0	38	181753	2	0	2	7	6	158696	-7	20019	25	178715	-1	179479	0	764	2	""	3038					11
SOCIAL080112	100206_fncb	2	1	1	11039607	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	10997	-999999	0	29	24138	-999999	0	39	219778	1	13	6	234745	3	233739	13	19	234758	-999999	234748	0	FixationBlockPROC					SOCIALList						2	2		?	?	?	?										2	8														52	181767	-53	0	12
