ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	FontStyle	RunTrialNumber[Session]	TrialsPerRun	ConsecNonResp[Session]	ConsecSameResp[Session]	TotalRespGreater200[Session]	ConsecRTLess200[Session]	StimuliDir	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.OnsetToOnsetTime	ExperimenterWindow.OnsetDelay[Session]	ExperimenterWindow.OnsetTime[Session]	ExperimenterWindow.DurationError[Session]	ExperimenterWindow.OnsetToOnsetTime[Session]	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	Procedure	CountDownList	Stimulus	CountDownList.Cycle	CountDownList.Sample	Running	CountDownSlide.OnsetDelay	CountDownSlide.OnsetTime	CountDownSlide.DurationError	CountDownSlide.FinishTime	CountDownSlide.OnsetToOnsetTime	SOCIALList	RunID	SocialRun1List	Movie	Type	Run	Order	RunTrialNumber[Block]	ConsecNonResp[Block]	ConsecSameResp[Block]	TotalRespGreater200[Block]	ConsecRTLess200[Block]	ExperimenterWindow.OnsetDelay[Block]	ExperimenterWindow.OnsetTime[Block]	ExperimenterWindow.DurationError[Block]	ExperimenterWindow.OnsetToOnsetTime[Block]	SOCIALList.Cycle	SOCIALList.Sample	MovieSlide.OnsetDelay	MovieSlide.OnsetTime	MovieSlide.DurationError	MovieSlide.OnsetToOnsetTime	ResponseSlide.OnsetDelay	ResponseSlide.OnsetTime	ResponseSlide.DurationError	ResponseSlide.RTTime	ResponseSlide.ACC	ResponseSlide.RT	ResponseSlide.RESP	ResponseSlide.CRESP	ResponseSlide.OnsetToOnsetTime	FixationBlock.OnsetDelay	FixationBlock.OnsetTime	FixationBlock.DurationError	FixationBlock.OnsetToOnsetTime	Block
SOCIAL080112	101006_fncb	2	1	1	2028969603	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	100	5071	-999999	0	31	5484	-999999	0	38	204441	3	14	6	219409	2	218403	13	19	219422	-999999	219412	0	CountDownPROC	1	4	1	1	CountDownList	13	21304	-14	23090	0																																				1
SOCIAL080112	101006_fncb	2	1	1	2028969603	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	100	5071	-999999	0	31	5484	-999999	0	38	204441	3	14	6	219409	2	218403	13	19	219422	-999999	219412	0	CountDownPROC	2	3	1	2	CountDownList	12	23303	-13	25090	0																																				2
SOCIAL080112	101006_fncb	2	1	1	2028969603	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	100	5071	-999999	0	31	5484	-999999	0	38	204441	3	14	6	219409	2	218403	13	19	219422	-999999	219412	0	CountDownPROC	3	2	1	3	CountDownList	11	25302	-12	27090	0																																				3
SOCIAL080112	101006_fncb	2	1	1	2028969603	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	100	5071	-999999	0	31	5484	-999999	0	38	204441	3	14	6	219409	2	218403	13	19	219422	-999999	219412	0	CountDownPROC	4	1	1	4	CountDownList	11	27302	-12	29090	0																																				4
SOCIAL080112	101006_fncb	2	1	1	2028969603	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	100	5071	-999999	0	31	5484	-999999	0	38	204441	3	14	6	219409	2	218403	13	19	219422	-999999	219412	0	SOCIALrunPROC					SOCIALList						2	2		Scaring.AVI	Mental	Run 1	6	2	0	1	1	0	52	52358	3	0	2	1	223	29514	-224	19792	15	49306	-1	51011	0	1705	2	""	3052					5
SOCIAL080112	101006_fncb	2	1	1	2028969603	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	100	5071	-999999	0	31	5484	-999999	0	38	204441	3	14	6	219409	2	218403	13	19	219422	-999999	219412	0	FixationBlockPROC					SOCIALList						2	2		?	?	?	?										2	2														65	52371	-66	0	6
SOCIAL080112	101006_fncb	2	1	1	2028969603	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	100	5071	-999999	0	31	5484	-999999	0	38	204441	3	14	6	219409	2	218403	13	19	219422	-999999	219412	0	SOCIALrunPROC					SOCIALList						2	2		SEDUCING-B.AVI	Mental	Run 1	7	3	0	2	2	0	52	90382	2	0	2	3	6	67312	-7	20018	24	87330	-1	88868	0	1538	2	""	3052					7
SOCIAL080112	101006_fncb	2	1	1	2028969603	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	100	5071	-999999	0	31	5484	-999999	0	38	204441	3	14	6	219409	2	218403	13	19	219422	-999999	219412	0	FixationBlockPROC					SOCIALList						2	2		?	?	?	?										2	4														65	90395	-66	0	8
SOCIAL080112	101006_fncb	2	1	1	2028969603	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	100	5071	-999999	0	31	5484	-999999	0	38	204441	3	14	6	219409	2	218403	13	19	219422	-999999	219412	0	SOCIALrunPROC					SOCIALList						2	2		STAR-A.AVI	Random	Run 1	8	4	0	1	3	0	39	128393	2	0	2	5	6	105336	-7	20018	24	125354	-1	125871	0	517	4	""	3039					9
SOCIAL080112	101006_fncb	2	1	1	2028969603	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	100	5071	-999999	0	31	5484	-999999	0	38	204441	3	14	6	219409	2	218403	13	19	219422	-999999	219412	0	FixationBlockPROC					SOCIALList						2	2		?	?	?	?										2	6														52	128406	-53	0	10
