ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	FontStyle	RunTrialNumber[Session]	TrialsPerRun	ConsecNonResp[Session]	ConsecSameResp[Session]	TotalRespGreater200[Session]	ConsecRTLess200[Session]	StimuliDir	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.OnsetToOnsetTime	ExperimenterWindow.OnsetDelay[Session]	ExperimenterWindow.OnsetTime[Session]	ExperimenterWindow.DurationError[Session]	ExperimenterWindow.OnsetToOnsetTime[Session]	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	Procedure	CountDownList	Stimulus	CountDownList.Cycle	CountDownList.Sample	Running	CountDownSlide.OnsetDelay	CountDownSlide.OnsetTime	CountDownSlide.DurationError	CountDownSlide.FinishTime	CountDownSlide.OnsetToOnsetTime	SOCIALList	RunID	SocialRun1List	Movie	Type	Run	Order	RunTrialNumber[Block]	ConsecNonResp[Block]	ConsecSameResp[Block]	TotalRespGreater200[Block]	ConsecRTLess200[Block]	ExperimenterWindow.OnsetDelay[Block]	ExperimenterWindow.OnsetTime[Block]	ExperimenterWindow.DurationError[Block]	ExperimenterWindow.OnsetToOnsetTime[Block]	SOCIALList.Cycle	SOCIALList.Sample	MovieSlide.OnsetDelay	MovieSlide.OnsetTime	MovieSlide.DurationError	MovieSlide.OnsetToOnsetTime	ResponseSlide.OnsetDelay	ResponseSlide.OnsetTime	ResponseSlide.DurationError	ResponseSlide.RTTime	ResponseSlide.ACC	ResponseSlide.RT	ResponseSlide.RESP	ResponseSlide.CRESP	ResponseSlide.OnsetToOnsetTime	FixationBlock.OnsetDelay	FixationBlock.OnsetTime	FixationBlock.DurationError	FixationBlock.OnsetToOnsetTime	Block
SOCIAL080112	100408_fncb	2	1	1	-1996824229	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	5983	-999999	0	34	6316	-999999	0	38	202756	3	14	6	217724	2	216718	13	19	217737	-999999	217727	0	CountDownPROC	1	4	1	1	CountDownList	13	19617	-14	21403	0																																				1
SOCIAL080112	100408_fncb	2	1	1	-1996824229	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	5983	-999999	0	34	6316	-999999	0	38	202756	3	14	6	217724	2	216718	13	19	217737	-999999	217727	0	CountDownPROC	2	3	1	2	CountDownList	13	21617	-14	23403	0																																				2
SOCIAL080112	100408_fncb	2	1	1	-1996824229	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	5983	-999999	0	34	6316	-999999	0	38	202756	3	14	6	217724	2	216718	13	19	217737	-999999	217727	0	CountDownPROC	3	2	1	3	CountDownList	12	23616	-13	25403	0																																				3
SOCIAL080112	100408_fncb	2	1	1	-1996824229	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	5983	-999999	0	34	6316	-999999	0	38	202756	3	14	6	217724	2	216718	13	19	217737	-999999	217727	0	CountDownPROC	4	1	1	4	CountDownList	11	25615	-12	27403	0																																				4
SOCIAL080112	100408_fncb	2	1	1	-1996824229	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	5983	-999999	0	34	6316	-999999	0	38	202756	3	14	6	217724	2	216718	13	19	217737	-999999	217727	0	SOCIALrunPROC					SOCIALList						2	2		Scaring.AVI	Mental	Run 1	6	2	0	1	1	0	40	50659	2	0	2	1	223	27827	-224	19792	15	47619	-1	48905	0	1286	2	""	3040					5
SOCIAL080112	100408_fncb	2	1	1	-1996824229	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	5983	-999999	0	34	6316	-999999	0	38	202756	3	14	6	217724	2	216718	13	19	217737	-999999	217727	0	FixationBlockPROC					SOCIALList						2	2		?	?	?	?										2	2														52	50671	-53	0	6
SOCIAL080112	100408_fncb	2	1	1	-1996824229	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	5983	-999999	0	34	6316	-999999	0	38	202756	3	14	6	217724	2	216718	13	19	217737	-999999	217727	0	SOCIALrunPROC					SOCIALList						2	2		SEDUCING-B.AVI	Mental	Run 1	7	3	0	2	2	0	52	88696	2	0	2	3	6	65625	-7	20019	25	85644	-1	86417	0	773	2	""	3052					7
SOCIAL080112	100408_fncb	2	1	1	-1996824229	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	5983	-999999	0	34	6316	-999999	0	38	202756	3	14	6	217724	2	216718	13	19	217737	-999999	217727	0	FixationBlockPROC					SOCIALList						2	2		?	?	?	?										2	4														65	88709	-66	0	8
SOCIAL080112	100408_fncb	2	1	1	-1996824229	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	5983	-999999	0	34	6316	-999999	0	38	202756	3	14	6	217724	2	216718	13	19	217737	-999999	217727	0	SOCIALrunPROC					SOCIALList						2	2		STAR-A.AVI	Random	Run 1	8	4	0	1	3	0	38	126707	3	0	2	5	6	103650	-7	20019	25	123669	-1	124953	0	1284	4	""	3038					9
SOCIAL080112	100408_fncb	2	1	1	-1996824229	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	5983	-999999	0	34	6316	-999999	0	38	202756	3	14	6	217724	2	216718	13	19	217737	-999999	217727	0	FixationBlockPROC					SOCIALList						2	2		?	?	?	?										2	6														52	126721	-53	0	10
SOCIAL080112	100408_fncb	2	1	1	-1996824229	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	5983	-999999	0	34	6316	-999999	0	38	202756	3	14	6	217724	2	216718	13	19	217737	-999999	217727	0	SOCIALrunPROC					SOCIALList						2	2		SURPRISING-B.AVI	Mental	Run 1	9	5	0	1	4	0	39	164732	2	0	2	7	6	141675	-7	20018	24	161693	-1	162812	0	1119	2	""	3039					11
SOCIAL080112	100408_fncb	2	1	1	-1996824229	1	75.031	75.030	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	5983	-999999	0	34	6316	-999999	0	38	202756	3	14	6	217724	2	216718	13	19	217737	-999999	217727	0	FixationBlockPROC					SOCIALList						2	2		?	?	?	?										2	8														52	164745	-53	0	12
