ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	FontStyle	RunTrialNumber[Session]	TrialsPerRun	ConsecNonResp[Session]	ConsecSameResp[Session]	TotalRespGreater200[Session]	ConsecRTLess200[Session]	StimuliDir	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.OnsetToOnsetTime	ExperimenterWindow.OnsetDelay[Session]	ExperimenterWindow.OnsetTime[Session]	ExperimenterWindow.DurationError[Session]	ExperimenterWindow.OnsetToOnsetTime[Session]	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	Procedure	CountDownList	Stimulus	CountDownList.Cycle	CountDownList.Sample	Running	CountDownSlide.OnsetDelay	CountDownSlide.OnsetTime	CountDownSlide.DurationError	CountDownSlide.FinishTime	CountDownSlide.OnsetToOnsetTime	SOCIALList	RunID	SocialRun1List	Movie	Type	Run	Order	RunTrialNumber[Block]	ConsecNonResp[Block]	ConsecSameResp[Block]	TotalRespGreater200[Block]	ConsecRTLess200[Block]	ExperimenterWindow.OnsetDelay[Block]	ExperimenterWindow.OnsetTime[Block]	ExperimenterWindow.DurationError[Block]	ExperimenterWindow.OnsetToOnsetTime[Block]	SOCIALList.Cycle	SOCIALList.Sample	MovieSlide.OnsetDelay	MovieSlide.OnsetTime	MovieSlide.DurationError	MovieSlide.OnsetToOnsetTime	ResponseSlide.OnsetDelay	ResponseSlide.OnsetTime	ResponseSlide.DurationError	ResponseSlide.RTTime	ResponseSlide.ACC	ResponseSlide.RT	ResponseSlide.RESP	ResponseSlide.CRESP	ResponseSlide.OnsetToOnsetTime	FixationBlock.OnsetDelay	FixationBlock.OnsetTime	FixationBlock.DurationError	FixationBlock.OnsetToOnsetTime	Block
SOCIAL080112	101410_fncb	1	1	1	756415500	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	98	4361	-999999	0	40	33829	-999999	0	39	232241	2	13	6	247208	2	246202	13	19	247221	-999999	247211	0	CountDownPROC	1	4	1	1	CountDownList	27	49103	-28	50875	0																																				1
SOCIAL080112	101410_fncb	1	1	1	756415500	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	98	4361	-999999	0	40	33829	-999999	0	39	232241	2	13	6	247208	2	246202	13	19	247221	-999999	247211	0	CountDownPROC	2	3	1	2	CountDownList	12	51088	-13	52875	0																																				2
SOCIAL080112	101410_fncb	1	1	1	756415500	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	98	4361	-999999	0	40	33829	-999999	0	39	232241	2	13	6	247208	2	246202	13	19	247221	-999999	247211	0	CountDownPROC	3	2	1	3	CountDownList	12	53088	-13	54875	0																																				3
SOCIAL080112	101410_fncb	1	1	1	756415500	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	98	4361	-999999	0	40	33829	-999999	0	39	232241	2	13	6	247208	2	246202	13	19	247221	-999999	247211	0	CountDownPROC	4	1	1	4	CountDownList	11	55087	-12	56875	0																																				4
SOCIAL080112	101410_fncb	1	1	1	756415500	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	98	4361	-999999	0	40	33829	-999999	0	39	232241	2	13	6	247208	2	246202	13	19	247221	-999999	247211	0	SOCIALrunPROC					SOCIALList						1	1	1	COAXING-B.AVI	Mental	Run 1	1	2	0	1	1	0	53	80157	2	0	2	1	237	57313	-235	19791	28	77104	-1	78472	0	1368	2	""	3053					5
SOCIAL080112	101410_fncb	1	1	1	756415500	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	98	4361	-999999	0	40	33829	-999999	0	39	232241	2	13	6	247208	2	246202	13	19	247221	-999999	247211	0	FixationBlockPROC					SOCIALList						1	1	2	?	?	?	?										2	2														66	80170	-67	0	6
SOCIAL080112	101410_fncb	1	1	1	756415500	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	98	4361	-999999	0	40	33829	-999999	0	39	232241	2	13	6	247208	2	246202	13	19	247221	-999999	247211	0	SOCIALrunPROC					SOCIALList						1	1	3	BILLIARD-A.AVI	Random	Run 1	2	3	0	1	2	0	39	118168	2	0	2	3	6	95110	-7	20019	25	115129	-1	116814	0	1685	4	""	3039					7
SOCIAL080112	101410_fncb	1	1	1	756415500	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	98	4361	-999999	0	40	33829	-999999	0	39	232241	2	13	6	247208	2	246202	13	19	247221	-999999	247211	0	FixationBlockPROC					SOCIALList						1	1	4	?	?	?	?										2	4														52	118181	-53	0	8
SOCIAL080112	101410_fncb	1	1	1	756415500	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	98	4361	-999999	0	40	33829	-999999	0	39	232241	2	13	6	247208	2	246202	13	19	247221	-999999	247211	0	SOCIALrunPROC					SOCIALList						1	1	5	DRIFTING-A.AVI	Random	Run 1	3	4	0	2	3	0	39	156192	2	0	2	5	6	133135	-7	20018	24	153153	-1	154018	0	865	4	""	3039					9
SOCIAL080112	101410_fncb	1	1	1	756415500	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	98	4361	-999999	0	40	33829	-999999	0	39	232241	2	13	6	247208	2	246202	13	19	247221	-999999	247211	0	FixationBlockPROC					SOCIALList						1	1	6	?	?	?	?										2	6														52	156205	-53	0	10
