ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	FontStyle	RunTrialNumber[Session]	TrialsPerRun	ConsecNonResp[Session]	ConsecSameResp[Session]	TotalRespGreater200[Session]	ConsecRTLess200[Session]	StimuliDir	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.OnsetToOnsetTime	ExperimenterWindow.OnsetDelay[Session]	ExperimenterWindow.OnsetTime[Session]	ExperimenterWindow.DurationError[Session]	ExperimenterWindow.OnsetToOnsetTime[Session]	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	Procedure	CountDownList	Stimulus	CountDownList.Cycle	CountDownList.Sample	Running	CountDownSlide.OnsetDelay	CountDownSlide.OnsetTime	CountDownSlide.DurationError	CountDownSlide.FinishTime	CountDownSlide.OnsetToOnsetTime	SOCIALList	RunID	SocialRun1List	Movie	Type	Run	Order	RunTrialNumber[Block]	ConsecNonResp[Block]	ConsecSameResp[Block]	TotalRespGreater200[Block]	ConsecRTLess200[Block]	ExperimenterWindow.OnsetDelay[Block]	ExperimenterWindow.OnsetTime[Block]	ExperimenterWindow.DurationError[Block]	ExperimenterWindow.OnsetToOnsetTime[Block]	SOCIALList.Cycle	SOCIALList.Sample	MovieSlide.OnsetDelay	MovieSlide.OnsetTime	MovieSlide.DurationError	MovieSlide.OnsetToOnsetTime	ResponseSlide.OnsetDelay	ResponseSlide.OnsetTime	ResponseSlide.DurationError	ResponseSlide.RTTime	ResponseSlide.ACC	ResponseSlide.RT	ResponseSlide.RESP	ResponseSlide.CRESP	ResponseSlide.OnsetToOnsetTime	FixationBlock.OnsetDelay	FixationBlock.OnsetTime	FixationBlock.DurationError	FixationBlock.OnsetToOnsetTime	Block
SOCIAL080112	101410_fncb	2	1	1	1542005437	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	4410	-999999	0	34	6715	-999999	0	39	203448	2	13	6	218415	3	217409	13	19	218428	-999999	218419	0	CountDownPROC	1	4	1	1	CountDownList	18	20310	-19	22091	0																																				1
SOCIAL080112	101410_fncb	2	1	1	1542005437	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	4410	-999999	0	34	6715	-999999	0	39	203448	2	13	6	218415	3	217409	13	19	218428	-999999	218419	0	CountDownPROC	2	3	1	2	CountDownList	3	22295	-4	24091	0																																				2
SOCIAL080112	101410_fncb	2	1	1	1542005437	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	4410	-999999	0	34	6715	-999999	0	39	203448	2	13	6	218415	3	217409	13	19	218428	-999999	218419	0	CountDownPROC	3	2	1	3	CountDownList	3	24295	-4	26091	0																																				3
SOCIAL080112	101410_fncb	2	1	1	1542005437	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	4410	-999999	0	34	6715	-999999	0	39	203448	2	13	6	218415	3	217409	13	19	218428	-999999	218419	0	CountDownPROC	4	1	1	4	CountDownList	2	26294	-3	28091	0																																				4
SOCIAL080112	101410_fncb	2	1	1	1542005437	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	4410	-999999	0	34	6715	-999999	0	39	203448	2	13	6	218415	3	217409	13	19	218428	-999999	218419	0	SOCIALrunPROC					SOCIALList						2	2		Scaring.AVI	Mental	Run 1	6	2	0	1	1	0	53	51364	2	0	2	1	228	28520	-229	19791	19	48311	-1	49034	0	723	2	""	3053					5
SOCIAL080112	101410_fncb	2	1	1	1542005437	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	4410	-999999	0	34	6715	-999999	0	39	203448	2	13	6	218415	3	217409	13	19	218428	-999999	218419	0	FixationBlockPROC					SOCIALList						2	2		?	?	?	?										2	2														66	51377	-67	0	6
SOCIAL080112	101410_fncb	2	1	1	1542005437	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	4410	-999999	0	34	6715	-999999	0	39	203448	2	13	6	218415	3	217409	13	19	218428	-999999	218419	0	SOCIALrunPROC					SOCIALList						2	2		SEDUCING-B.AVI	Mental	Run 1	7	3	0	2	2	0	52	89388	2	0	2	3	6	66317	-7	20019	25	86336	-1	86820	0	484	2	""	3052					7
SOCIAL080112	101410_fncb	2	1	1	1542005437	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	4410	-999999	0	34	6715	-999999	0	39	203448	2	13	6	218415	3	217409	13	19	218428	-999999	218419	0	FixationBlockPROC					SOCIALList						2	2		?	?	?	?										2	4														65	89401	-66	0	8
SOCIAL080112	101410_fncb	2	1	1	1542005437	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	4410	-999999	0	34	6715	-999999	0	39	203448	2	13	6	218415	3	217409	13	19	218428	-999999	218419	0	SOCIALrunPROC					SOCIALList						2	2		STAR-A.AVI	Random	Run 1	8	4	0	1	3	0	39	127399	2	0	2	5	6	104342	-7	20018	24	124360	-1	125101	0	741	4	""	3039					9
SOCIAL080112	101410_fncb	2	1	1	1542005437	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	103	4410	-999999	0	34	6715	-999999	0	39	203448	2	13	6	218415	3	217409	13	19	218428	-999999	218419	0	FixationBlockPROC					SOCIALList						2	2		?	?	?	?										2	6														52	127412	-53	0	10
