ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	FontStyle	RunTrialNumber[Session]	TrialsPerRun	ConsecNonResp[Session]	ConsecSameResp[Session]	TotalRespGreater200[Session]	ConsecRTLess200[Session]	StimuliDir	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.OnsetToOnsetTime	ExperimenterWindow.OnsetDelay[Session]	ExperimenterWindow.OnsetTime[Session]	ExperimenterWindow.DurationError[Session]	ExperimenterWindow.OnsetToOnsetTime[Session]	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	Procedure	CountDownList	Stimulus	CountDownList.Cycle	CountDownList.Sample	Running	CountDownSlide.OnsetDelay	CountDownSlide.OnsetTime	CountDownSlide.DurationError	CountDownSlide.FinishTime	CountDownSlide.OnsetToOnsetTime	SOCIALList	RunID	SocialRun1List	Movie	Type	Run	Order	RunTrialNumber[Block]	ConsecNonResp[Block]	ConsecSameResp[Block]	TotalRespGreater200[Block]	ConsecRTLess200[Block]	ExperimenterWindow.OnsetDelay[Block]	ExperimenterWindow.OnsetTime[Block]	ExperimenterWindow.DurationError[Block]	ExperimenterWindow.OnsetToOnsetTime[Block]	SOCIALList.Cycle	SOCIALList.Sample	MovieSlide.OnsetDelay	MovieSlide.OnsetTime	MovieSlide.DurationError	MovieSlide.OnsetToOnsetTime	ResponseSlide.OnsetDelay	ResponseSlide.OnsetTime	ResponseSlide.DurationError	ResponseSlide.RTTime	ResponseSlide.ACC	ResponseSlide.RT	ResponseSlide.RESP	ResponseSlide.CRESP	ResponseSlide.OnsetToOnsetTime	FixationBlock.OnsetDelay	FixationBlock.OnsetTime	FixationBlock.DurationError	FixationBlock.OnsetToOnsetTime	Block
SOCIAL080112	101107_fncb	1	1	1	748294245	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	102	4684	-999999	0	29	29260	-999999	0	39	225686	2	13	6	240653	3	239647	13	19	240666	-999999	240656	0	CountDownPROC	1	4	1	1	CountDownList	18	42548	-19	44329	0																																				1
SOCIAL080112	101107_fncb	1	1	1	748294245	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	102	4684	-999999	0	29	29260	-999999	0	39	225686	2	13	6	240653	3	239647	13	19	240666	-999999	240656	0	CountDownPROC	2	3	1	2	CountDownList	4	44534	-5	46329	0																																				2
SOCIAL080112	101107_fncb	1	1	1	748294245	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	102	4684	-999999	0	29	29260	-999999	0	39	225686	2	13	6	240653	3	239647	13	19	240666	-999999	240656	0	CountDownPROC	3	2	1	3	CountDownList	3	46533	-4	48329	0																																				3
SOCIAL080112	101107_fncb	1	1	1	748294245	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	102	4684	-999999	0	29	29260	-999999	0	39	225686	2	13	6	240653	3	239647	13	19	240666	-999999	240656	0	CountDownPROC	4	1	1	4	CountDownList	2	48532	-3	50329	0																																				4
SOCIAL080112	101107_fncb	1	1	1	748294245	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	102	4684	-999999	0	29	29260	-999999	0	39	225686	2	13	6	240653	3	239647	13	19	240666	-999999	240656	0	SOCIALrunPROC					SOCIALList						1	1	1	COAXING-B.AVI	Mental	Run 1	1	2	0	1	1	0	52	73602	3	0	2	1	255	50785	-256	19765	20	70550	-1	72365	0	1815	2	""	3052					5
SOCIAL080112	101107_fncb	1	1	1	748294245	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	102	4684	-999999	0	29	29260	-999999	0	39	225686	2	13	6	240653	3	239647	13	19	240666	-999999	240656	0	FixationBlockPROC					SOCIALList						1	1	2	?	?	?	?										2	2														65	73615	-66	0	6
SOCIAL080112	101107_fncb	1	1	1	748294245	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	102	4684	-999999	0	29	29260	-999999	0	39	225686	2	13	6	240653	3	239647	13	19	240666	-999999	240656	0	SOCIALrunPROC					SOCIALList						1	1	3	BILLIARD-A.AVI	Random	Run 1	2	3	0	1	2	0	52	111626	2	0	2	3	6	88556	-7	20018	24	108574	-1	110620	0	2046	4	""	3052					7
SOCIAL080112	101107_fncb	1	1	1	748294245	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	102	4684	-999999	0	29	29260	-999999	0	39	225686	2	13	6	240653	3	239647	13	19	240666	-999999	240656	0	FixationBlockPROC					SOCIALList						1	1	4	?	?	?	?										2	4														65	111639	-66	0	8
SOCIAL080112	101107_fncb	1	1	1	748294245	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	102	4684	-999999	0	29	29260	-999999	0	39	225686	2	13	6	240653	3	239647	13	19	240666	-999999	240656	0	SOCIALrunPROC					SOCIALList						1	1	5	DRIFTING-A.AVI	Random	Run 1	3	4	1	1	2	0	39	149637	2	0	2	5	6	126580	-7	20018	24	146598	-1	0	1	0	""	""	3039					9
SOCIAL080112	101107_fncb	1	1	1	748294245	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	102	4684	-999999	0	29	29260	-999999	0	39	225686	2	13	6	240653	3	239647	13	19	240666	-999999	240656	0	FixationBlockPROC					SOCIALList						1	1	6	?	?	?	?										2	6														52	149650	-53	0	10
