ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	FontStyle	RunTrialNumber[Session]	TrialsPerRun	ConsecNonResp[Session]	ConsecSameResp[Session]	TotalRespGreater200[Session]	ConsecRTLess200[Session]	StimuliDir	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.OnsetToOnsetTime	ExperimenterWindow.OnsetDelay[Session]	ExperimenterWindow.OnsetTime[Session]	ExperimenterWindow.DurationError[Session]	ExperimenterWindow.OnsetToOnsetTime[Session]	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	Procedure	CountDownList	Stimulus	CountDownList.Cycle	CountDownList.Sample	Running	CountDownSlide.OnsetDelay	CountDownSlide.OnsetTime	CountDownSlide.DurationError	CountDownSlide.FinishTime	CountDownSlide.OnsetToOnsetTime	SOCIALList	RunID	SocialRun1List	Movie	Type	Run	Order	RunTrialNumber[Block]	ConsecNonResp[Block]	ConsecSameResp[Block]	TotalRespGreater200[Block]	ConsecRTLess200[Block]	ExperimenterWindow.OnsetDelay[Block]	ExperimenterWindow.OnsetTime[Block]	ExperimenterWindow.DurationError[Block]	ExperimenterWindow.OnsetToOnsetTime[Block]	SOCIALList.Cycle	SOCIALList.Sample	MovieSlide.OnsetDelay	MovieSlide.OnsetTime	MovieSlide.DurationError	MovieSlide.OnsetToOnsetTime	ResponseSlide.OnsetDelay	ResponseSlide.OnsetTime	ResponseSlide.DurationError	ResponseSlide.RTTime	ResponseSlide.ACC	ResponseSlide.RT	ResponseSlide.RESP	ResponseSlide.CRESP	ResponseSlide.OnsetToOnsetTime	FixationBlock.OnsetDelay	FixationBlock.OnsetTime	FixationBlock.DurationError	FixationBlock.OnsetToOnsetTime	Block
SOCIAL080112	100408_fncb	1	1	1	1525909560	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	4711	-999999	0	28	29794	-999999	0	38	226367	3	14	6	241335	3	240329	13	19	241348	-999999	241338	0	CountDownPROC	1	4	1	1	CountDownList	20	43228	-21	45007	0																																				1
SOCIAL080112	100408_fncb	1	1	1	1525909560	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	4711	-999999	0	28	29794	-999999	0	38	226367	3	14	6	241335	3	240329	13	19	241348	-999999	241338	0	CountDownPROC	2	3	1	2	CountDownList	6	45214	-7	47007	0																																				2
SOCIAL080112	100408_fncb	1	1	1	1525909560	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	4711	-999999	0	28	29794	-999999	0	38	226367	3	14	6	241335	3	240329	13	19	241348	-999999	241338	0	CountDownPROC	3	2	1	3	CountDownList	5	47213	-6	49007	0																																				3
SOCIAL080112	100408_fncb	1	1	1	1525909560	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	4711	-999999	0	28	29794	-999999	0	38	226367	3	14	6	241335	3	240329	13	19	241348	-999999	241338	0	CountDownPROC	4	1	1	4	CountDownList	5	49213	-6	51007	0																																				4
SOCIAL080112	100408_fncb	1	1	1	1525909560	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	4711	-999999	0	28	29794	-999999	0	38	226367	3	14	6	241335	3	240329	13	19	241348	-999999	241338	0	SOCIALrunPROC					SOCIALList						1	1	1	COAXING-B.AVI	Mental	Run 1	1	2	0	1	1	0	39	74269	3	0	2	1	230	51438	-231	19792	22	71230	-1	72528	0	1298	2	""	3039					5
SOCIAL080112	100408_fncb	1	1	1	1525909560	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	4711	-999999	0	28	29794	-999999	0	38	226367	3	14	6	241335	3	240329	13	19	241348	-999999	241338	0	FixationBlockPROC					SOCIALList						1	1	2	?	?	?	?										2	2														52	74282	-53	0	6
SOCIAL080112	100408_fncb	1	1	1	1525909560	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	4711	-999999	0	28	29794	-999999	0	38	226367	3	14	6	241335	3	240329	13	19	241348	-999999	241338	0	SOCIALrunPROC					SOCIALList						1	1	3	BILLIARD-A.AVI	Random	Run 1	2	3	0	1	2	0	52	112307	2	0	2	3	6	89236	-7	20019	25	109255	-1	111170	0	1915	4	""	3052					7
SOCIAL080112	100408_fncb	1	1	1	1525909560	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	4711	-999999	0	28	29794	-999999	0	38	226367	3	14	6	241335	3	240329	13	19	241348	-999999	241338	0	FixationBlockPROC					SOCIALList						1	1	4	?	?	?	?										2	4														65	112320	-66	0	8
SOCIAL080112	100408_fncb	1	1	1	1525909560	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	4711	-999999	0	28	29794	-999999	0	38	226367	3	14	6	241335	3	240329	13	19	241348	-999999	241338	0	SOCIALrunPROC					SOCIALList						1	1	5	DRIFTING-A.AVI	Random	Run 1	3	4	0	2	3	0	39	150318	3	0	2	5	6	127261	-7	20018	24	147279	-1	148146	0	867	4	""	3039					9
SOCIAL080112	100408_fncb	1	1	1	1525909560	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	4711	-999999	0	28	29794	-999999	0	38	226367	3	14	6	241335	3	240329	13	19	241348	-999999	241338	0	FixationBlockPROC					SOCIALList						1	1	6	?	?	?	?										2	6														53	150332	-54	0	10
