ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	FontStyle	RunTrialNumber[Session]	TrialsPerRun	ConsecNonResp[Session]	ConsecSameResp[Session]	TotalRespGreater200[Session]	ConsecRTLess200[Session]	StimuliDir	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.OnsetToOnsetTime	ExperimenterWindow.OnsetDelay[Session]	ExperimenterWindow.OnsetTime[Session]	ExperimenterWindow.DurationError[Session]	ExperimenterWindow.OnsetToOnsetTime[Session]	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	Procedure	CountDownList	Stimulus	CountDownList.Cycle	CountDownList.Sample	Running	CountDownSlide.OnsetDelay	CountDownSlide.OnsetTime	CountDownSlide.DurationError	CountDownSlide.FinishTime	CountDownSlide.OnsetToOnsetTime	SOCIALList	RunID	SocialRun1List	Movie	Type	Run	Order	RunTrialNumber[Block]	ConsecNonResp[Block]	ConsecSameResp[Block]	TotalRespGreater200[Block]	ConsecRTLess200[Block]	ExperimenterWindow.OnsetDelay[Block]	ExperimenterWindow.OnsetTime[Block]	ExperimenterWindow.DurationError[Block]	ExperimenterWindow.OnsetToOnsetTime[Block]	SOCIALList.Cycle	SOCIALList.Sample	MovieSlide.OnsetDelay	MovieSlide.OnsetTime	MovieSlide.DurationError	MovieSlide.OnsetToOnsetTime	ResponseSlide.OnsetDelay	ResponseSlide.OnsetTime	ResponseSlide.DurationError	ResponseSlide.RTTime	ResponseSlide.ACC	ResponseSlide.RT	ResponseSlide.RESP	ResponseSlide.CRESP	ResponseSlide.OnsetToOnsetTime	FixationBlock.OnsetDelay	FixationBlock.OnsetTime	FixationBlock.DurationError	FixationBlock.OnsetToOnsetTime	Block
SOCIAL080112	100206_fncb	1	1	1	-830060231	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	100	19867	-999999	0	40	48122	-999999	0	39	249333	2	13	6	264300	3	263294	14	20	264314	-999999	264304	0	CountDownPROC	1	4	1	1	CountDownList	25	66208	-26	67982	0																																				1
SOCIAL080112	100206_fncb	1	1	1	-830060231	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	100	19867	-999999	0	40	48122	-999999	0	39	249333	2	13	6	264300	3	263294	14	20	264314	-999999	264304	0	CountDownPROC	2	3	1	2	CountDownList	11	68194	-12	69982	0																																				2
SOCIAL080112	100206_fncb	1	1	1	-830060231	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	100	19867	-999999	0	40	48122	-999999	0	39	249333	2	13	6	264300	3	263294	14	20	264314	-999999	264304	0	CountDownPROC	3	2	1	3	CountDownList	10	70193	-11	71982	0																																				3
SOCIAL080112	100206_fncb	1	1	1	-830060231	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	100	19867	-999999	0	40	48122	-999999	0	39	249333	2	13	6	264300	3	263294	14	20	264314	-999999	264304	0	CountDownPROC	4	1	1	4	CountDownList	9	72192	-10	73982	0																																				4
SOCIAL080112	100206_fncb	1	1	1	-830060231	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	100	19867	-999999	0	40	48122	-999999	0	39	249333	2	13	6	264300	3	263294	14	20	264314	-999999	264304	0	SOCIALrunPROC					SOCIALList						1	1	1	COAXING-B.AVI	Mental	Run 1	1	2	0	1	1	0	52	97249	2	0	2	1	222	74405	-223	19792	14	94197	-1	96461	0	2264	2	""	3052					5
SOCIAL080112	100206_fncb	1	1	1	-830060231	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	100	19867	-999999	0	40	48122	-999999	0	39	249333	2	13	6	264300	3	263294	14	20	264314	-999999	264304	0	FixationBlockPROC					SOCIALList						1	1	2	?	?	?	?										2	2														65	97262	-66	0	6
SOCIAL080112	100206_fncb	1	1	1	-830060231	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	100	19867	-999999	0	40	48122	-999999	0	39	249333	2	13	6	264300	3	263294	14	20	264314	-999999	264304	0	SOCIALrunPROC					SOCIALList						1	1	3	BILLIARD-A.AVI	Random	Run 1	2	3	0	2	2	0	52	135273	1	0	2	3	5	112202	-6	20019	24	132221	-1	134151	0	1930	2	""	3052					7
SOCIAL080112	100206_fncb	1	1	1	-830060231	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	100	19867	-999999	0	40	48122	-999999	0	39	249333	2	13	6	264300	3	263294	14	20	264314	-999999	264304	0	FixationBlockPROC					SOCIALList						1	1	4	?	?	?	?										2	4														65	135286	-66	0	8
SOCIAL080112	100206_fncb	1	1	1	-830060231	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	100	19867	-999999	0	40	48122	-999999	0	39	249333	2	13	6	264300	3	263294	14	20	264314	-999999	264304	0	SOCIALrunPROC					SOCIALList						1	1	5	DRIFTING-A.AVI	Random	Run 1	3	4	0	3	3	0	39	173284	1	0	2	5	6	150227	-7	20018	24	170245	-1	172310	0	2065	2	""	3039					9
SOCIAL080112	100206_fncb	1	1	1	-830060231	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	100	19867	-999999	0	40	48122	-999999	0	39	249333	2	13	6	264300	3	263294	14	20	264314	-999999	264304	0	FixationBlockPROC					SOCIALList						1	1	6	?	?	?	?										2	6														52	173297	-53	0	10
SOCIAL080112	100206_fncb	1	1	1	-830060231	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	100	19867	-999999	0	40	48122	-999999	0	39	249333	2	13	6	264300	3	263294	14	20	264314	-999999	264304	0	SOCIALrunPROC					SOCIALList						1	1	7	Fishing.AVI	Mental	Run 1	4	5	0	4	4	0	39	211309	2	0	2	7	6	188251	-7	20019	25	208270	-1	208978	0	708	2	""	3039					11
SOCIAL080112	100206_fncb	1	1	1	-830060231	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	100	19867	-999999	0	40	48122	-999999	0	39	249333	2	13	6	264300	3	263294	14	20	264314	-999999	264304	0	FixationBlockPROC					SOCIALList						1	1	8	?	?	?	?										2	8														52	211322	-53	0	12
SOCIAL080112	100206_fncb	1	1	1	-830060231	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	100	19867	-999999	0	40	48122	-999999	0	39	249333	2	13	6	264300	3	263294	14	20	264314	-999999	264304	0	SOCIALrunPROC					SOCIALList						1	1	9	Random mechanical.AVI	Random	Run 1	5	5	0	1	5	0	39	249333	2	0	2	9	6	226276	-7	20018	24	246294	-1	246977	0	683	4	""	3039					13
SOCIAL080112	100206_fncb	1	1	1	-830060231	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	100	19867	-999999	0	40	48122	-999999	0	39	249333	2	13	6	264300	3	263294	14	20	264314	-999999	264304	0	FixationBlockPROC					SOCIALList						1	1	10	?	?	?	?										2	10														52	249346	-53	0	14
